company,company_type,title,link,sectors,work_place,career,education,salary,deadline,reg_info,reg_days_ago,posting_period_days
국립암센터,일반기업,임시직(전문계약직) 채용공고[260615],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54190003,"법무사, 변호사, 사내변호사, 법률사무원, 암센터",경기 고양시 일산동구,경력무관 · 계약직,석사↑,면접 후 협의,~06.30(화),4일 전 등록,4,13
(주)캐처스,일반기업,캐처스 신입/경력 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54189961&adsCategoryItem=effect_bold&,"기계수리, 소독, 해충방제, 기계조작원, 기계설계",경남 김해시 외,신입 · 경력 · 정규직,학력무관,면접 후 협의,~07.12(일),4일 전 등록,4,25
(주)케이에프씨코리아,대기업,[KFC] 체험형인턴 채용(제품마케팅),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54189930,"가공식품, 시장조사, 식품, 촬영보조, 매장관리",서울 송파구,신입 · 인턴직,대학교(4년)↑,면접 후 협의,~06.30(화),4일 전 등록,4,13
국립암센터,일반기업,임시직 채용공고[260615] (판매원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54189901,"암센터, 판매직, 진열관리, 고객안내, 고객응대",경기 고양시 일산동구,경력무관 · 계약직,학력무관,면접 후 협의,~06.30(화),4일 전 등록,4,13
국립암센터,일반기업,임시직 채용공고[260615] (야간약사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54189839,"약사, 의약사무, 약제과, 암센터, 약국",경기 고양시 일산동구,경력무관 · 계약직,대학교(4년)↑,면접 후 협의,~06.30(화),4일 전 등록,4,13
국립암센터,일반기업,업무직 채용공고[260615] (시설관리),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54189733,"암센터, 가스기능사, 공조냉동기사, 보일러기사, 가스설비",경기 고양시 일산동구,경력무관 · 계약직,학력무관,면접 후 협의,~06.30(화),4일 전 등록,4,13
국립암센터,일반기업,업무직 채용공고[260615] (행정지원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54189600,"사무직, 서무, 문서작성, 사무보조, 사무행정",경기 고양시 일산동구,경력무관 · 계약직,학력무관,면접 후 협의,~06.30(화),4일 전 등록,4,13
국립암센터,일반기업,업무직 채용공고[260615] (일반미화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54189484,"암센터, 미화원, 소독, 청소",경기 고양시 일산동구,경력무관 · 계약직,학력무관,면접 후 협의,~06.30(화),4일 전 등록,4,13
아비만로보틱스(주),일반기업,2026년 하반기 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54189236&adsCategoryItem=effect_bold&,"기술지원, 유지보수, 법인결산, 손익관리, 자금관리",경기 화성시 외,경력무관 · 정규직,학력무관,면접 후 협의,~08.14(금),4일 전 등록,4,58
롯데렌탈(주),대기업,롯데렌터카 차량관리 채용 (김포공항/김해공항),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54189110,"탁송기사, 배차관리, 매장매니저, 발레파킹, 세차원",서울 강서구 외,신입 · 계약직,학력무관,면접 후 협의,내일마감,4일 전 등록,4,알수없음
