company,company_type,primary_sector,title,title_length,sector_count,posting_period_days,duration_deviation,abs_duration_deviation,is_short_posting,is_long_posting,company_reposting_count,sector_reposting_count,estimated_salary,estimated_welfare_count,has_flexible_work,has_snack_bar,has_incentive,turnover_risk_score,turnover_risk_level,link
네이버(주),일반기업,AI(인공지능),2026 NAVER 하계 인턴십 : 비즈니스 트랙 (대시보드 구축),37,5,7.0,-5.0,5.0,1,0,13,18,3800,3,0,0,0,58.84366327474561,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176591
네이버(주),일반기업,트렌드분석,2026 NAVER 하계 인턴십 : 비즈니스 트랙 (사용자 경험 개선),39,5,7.0,-5.0,5.0,1,0,13,4,3800,3,0,0,0,58.84366327474561,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176419
(주)에스제이,일반기업,기계조작원,[충북음성/상여100%] 생산직 정규직 사원 채용,27,5,,,,0,0,1,14,3800,3,0,0,0,40.0,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176330
네이버(주),일반기업,AI(인공지능),2026 NAVER 하계 인턴십 : 비즈니스 트랙 (멤버십 전용 AI Tab),43,4,7.0,-5.0,5.0,1,0,13,18,3800,3,0,0,0,58.84366327474561,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176164
법무법인기세광화문분사무소,일반기업,사무직,국제법무팀(미국 이민/비자 사무) 정규직 채용,25,5,14.0,2.0,2.0,0,1,1,67,3800,3,0,0,0,41.276595744680854,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176102&adsCategoryItem=effect_bold&
엠에스솔루션,일반기업,단순생산직,[부천] 미국대기업 반도체 생산 정규직 [상여200%/면접비지원/4조3교대/오피스텔제공/통근버스/대기업복지],60,5,45.0,33.0,33.0,0,1,1,10,3800,3,0,0,0,61.06382978723405,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176097
주은에듀테크(주),일반기업,더존,2026 하반기 주은에듀테크 정기 대규모 공개채용,27,5,,,,0,0,1,3,3800,3,0,0,0,40.0,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176086
네이버(주),일반기업,AI(인공지능),2026 NAVER 하계 인턴십 : 비즈니스 트랙 (콘텐츠 인사이트),38,5,7.0,-5.0,5.0,1,0,13,18,3800,3,0,0,0,58.84366327474561,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176052
(주)넷게임즈,대기업,Unreal,[RX 스튜디오] 시네마틱 아티스트,19,3,14.0,2.0,2.0,0,1,4,1,5800,7,0,0,0,9.18963922294172,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54175965
(주)중앙공사,일반기업,도장/도금/도색,항공기 작업자 모집(대한항공 협력업체),21,1,31.0,19.0,19.0,0,1,1,1,3800,3,0,0,0,52.12765957446809,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54175938&adsCategoryItem=effect_bold&
